nome,jogo,time_atual,imagem_url,total_claims,regiao
iZu,valorant,T1,,0,Pacific
Meteor,valorant,T1,,0,Pacific
Munchkin,valorant,T1,,0,Pacific
stax,valorant,T1,,0,Pacific
BerserX,valorant,TEAM SECRET,,0,Pacific
JessieVash,valorant,TEAM SECRET,,0,Pacific
KellyS,valorant,TEAM SECRET,,0,Pacific
Sylvan,valorant,TEAM SECRET,,0,Pacific
Zeus,valorant,TEAM SECRET,,0,Pacific
C1ndeR,valorant,VARREL,,0,Pacific
Klaus,valorant,VARREL,,0,Pacific
oonzmlp,valorant,VARREL,,0,Pacific
XuNa,valorant,VARREL,,0,Pacific
Zexy,valorant,VARREL,,0,Pacific
Absol,valorant,ZETA DIVISION,,0,Pacific
eKo,valorant,ZETA DIVISION,,0,Pacific
SugarZ3ro,valorant,ZETA DIVISION,,0,Pacific
SyouTa,valorant,ZETA DIVISION,,0,Pacific
xdll,valorant,ZETA DIVISION,,0,Pacific
